ext_recipe_id,title,category,subcategory,description,num_ingredients,num_steps,directions_text
1,Air Fryer Potato Slices with Dipping Sauce,Air Fryer Recipes,Air Fryer Recipes,"These air fryer potato slices, served with a beer ketchup dipping sauce, are a tasty finger food somewhere between a French fry and a potato chip. Do take the time to make the dipping sauce—it's worth it.",9,5,"Combine ketchup, beer, Worcestershire sauce, onion powder, and cayenne in a small saucepan. Bring to a boil, then reduce heat, and simmer for 3 to 5 minutes. Remove from heat, and cool. Cover and store in the refrigerator until ready to use.
Preheat the air fryer to 400 degrees F (200 degrees C). Spray the basket with cooking spray or line with a disposable parchment liner.
Slice potatoes 1/4-inch thick (use a mandoline if you have one), and place in a bowl. Spray potatoes with olive oil spray, and sprinkle with garlic powder, salt and pepper. Give the potatoes a good stir.
Place potatoes in a single layer in the air fryer, and cook, shaking occasionally, until they start to crisp up a bit and turn golden brown, 14 to 17 minutes. Cooking times can vary depending on the brand and size of the fryer, and you may have to cook in batches.
Remove from the fryer, and serve with beer ketchup dipping sauce."
2,Gochujang Pork Belly Bites,Air Fryer Recipes,Air Fryer Recipes,"These gochujang pork belly bites are sweet and spicy, crispy and crunchy, and absolutely delicious. Whether you finish them with the gochujang sauce in the air fryer, or just dip them in the sauce at the end, they are irresistibly good.",5,4,"Preheat an air fryer to 400 degrees F (200 degrees C).
Place pork belly pieces in the basket in a single layer, not touching. Air fry for 8 to 9 minutes; turn over and air fry for 6 to 7 minutes more.
Meanwhile, for sauce, stir gochujang, soy sauce, hot honey, and ginger together in a medium bowl.
Remove pork belly from air fryer basket; toss in sauce to coat. Return to the air fryer and fry until bites begin to char at the edges, 8 to 11 minutes more. (Alternately, you can use sauce only for dipping; in this case, continue to fry without removing bites, until they begin to char, 6 to 7 minutes.)"
3,3-Ingredient Air Fryer Everything Bagel Chicken Strips,Air Fryer Recipes,Air Fryer Recipes,"These 3-ingredient air fryer everything bagel chicken strips are simple, flavorful, and delicious. Chicken tenders are easy to cook, but this easy? Wow! 5 minutes of prep time, 3 ingredients, and a quick fry in the air fryer, and dinner is ready in well under half an hour. My go-to dipping sauces are ranch dressing, brown gravy, or tartar sauce made with dill relish.",3,4,"Gather all ingredients. Preheat an air fryer to 400 degrees F (200 degrees C), or according to manufacturer's instructions.
Place tenders in a bowl. Add oil and toss to coat. Add everything seasoning and toss to coat again.
Place tenders in the air fryer basket in a single layer; cook in batches if necessary. Cook until no longer pink at the center and juices run clear, about 12 minutes. An instant read thermometer inserted near the center should read at least 165 degrees F (74 degrees C).
Transfer to a serving plate and serve with desired dipping sauce."
4,Air Fryer Everything Bagel Chicken Cutlets,Air Fryer Recipes,Air Fryer Recipes,"These air fryer everything bagel chicken cutlets, breaded with everything-seasoned panko breadcrumbs and air fried, are drizzled with a spicy-sweet ginger garlic sauce.",9,9,"Preheat an air fryer to 400 degrees F (200 degrees C), or according to manufacturer's instructions.
Pat chicken cutlets dry with paper towels; season lightly with salt and pepper. Place flour in a resealable plastic bag; set aside.
Beat eggs with milk until well blended in a shallow bowl. On a plate, stir everything bagel seasoning and panko together.
Add cutlets to the bag with flour. Seal the bag and toss until cutlets are coated.
Working with 1 cutlet at a time, shake off any extra flour, dip each cutlet into egg mixture, and shake off any excess. Press each cutlet into panko mixture, then turn and press crumbs into the other side to adhere. Place breaded cutlets on a sheet of parchment; continue until all cutlets are coated.
Generously spray each cutlet with olive oil spray on both sides, and place cutlets in the air fryer in a single layer, working in batches if needed.
Air fry for 8 to 12 minutes, turning over halfway through, if desired. Thin cutlets will take less time, and thick cutlets will take more. An instant read thermometer inserted near the center should read 165 degrees F (74 degrees C).
Meanwhile, for glaze, combine rice vinegar, water, brown sugar, Sriracha, ginger, garlic, and soy sauce in a small saucepan and bring to a boil over medium heat. Reduce heat, and simmer until barely thickened, 3 to 5 minutes.
Drizzle each cutlet with glaze and serve warm. Garnish with fresh parsley sprigs."
5,Air Fryer Honey Sriracha Salmon Bites,Air Fryer Recipes,Air Fryer Recipes,"These air fryer honey Sriracha salmon bites are cubes of salmon, lightly seasoned with salt, pepper, olive oil, and a touch of Sriracha, then air fried to crispy perfection and drizzled with a bold, sticky honey-Sriracha sauce. These bites are perfect as an appetizer, rice bowl topping, or paired with a side of roasted vegetables.",5,5,"Preheat an air fryer to 400 degrees F (200 degrees C).
Whisk soy sauce, honey, 1 tablespoon Sriracha, rice vinegar, and granulated garlic together in a small bowl. Set aside.
Pat salmon dry and cut into 1 1/2-inch cubes. Toss salmon in olive oil, 1/2 tablespoon Sriracha, salt, and pepper.
Spray basket of the air fryer with cooking spray. Place seasoned salmon in the basket of the air fryer, working in batches to avoid overcrowding, if necessary.
Cook in the preheated air fryer for 4 minutes. Gently turn salmon pieces and cook until salmon flakes easily with a fork, 3 to 4 more minutes. Place on a serving platter, drizzle with honey-Sriracha sauce, and garnish with green onion and sesame seeds. Serve immediately."
6,Air Fryer Corn on The Cob,Air Fryer Recipes,Air Fryer Recipes,"Air fryer corn on the cob is super quick to make and full of sweet roasted corn flavor. I like to roll them in mayo, chili powder, lime juice, and cotija for all of the flavors you get in crispy Mexican street corn without having to fire up the grill!",6,4,"Preheat an air fryer to 400 degrees F (200 degrees C).
Mix mayonnaise, cotija cheese, lime juice, and chili powder in a shallow dish.
Roll each piece of corn in the mayonnaise mixture until all sides are covered.
Place all 4 pieces of corn in the air fryer basket; cook in the preheated air fryer until golden, crisp, and tender, about 8 minutes. Garnish with cilantro."
7,Air Fryer Peanut Chicken,Air Fryer Recipes,Air Fryer Recipes,"In this air fryer peanut chicken recipe, boneless, skinless chicken thighs are marinated in a spicy-sweet peanut marinade. Rice or noodles work with this dish, or cut it into bite-sized pieces and serve over a salad.",13,7,"Combine chili sauce, soy sauce, Sriracha, lime zest, lime juice, granulated garlic, minced ginger, peanut butter, and salt to taste in a large resealable plastic bag. Gently move and mash the ingredients inside the bag until well blended.
Add chicken to the bag, and squeeze out as much air as possible. Move chicken around inside the bag until each piece is coated in marinade. Marinate in the refrigerator for at least 30 minutes and up to 24 hours.
Preheat an air fryer to 350 degrees F (180 degrees C), or according to manufacturer's recommendations.
Spray the cooking surface of the air fryer with cooking spray.
Take chicken pieces from the bag, and allow the marinade to drip back into the bag. Place chicken pieces in the air fryer in a single layer and air fry for 20 to 22 minutes, turning halfway through, until an instant-read thermometer inserted near the center reads 165 degrees F (74 degrees C).
Meanwhile, add about 1/2 cup of water to the unused marinade, and mix contents; pour into a microwave-safe container. Microwave on High, until marinade comes to a boil, and cook about 1 minute longer; watch carefully to see it does not boil over.
Serve chicken over rice, with sauce on the side as a dip. Garnish with chopped cilantro, sliced scallions, julienne cucumbers and carrots, and chopped peanuts, as desired."
8,Air Fryer Crispy Onions,Air Fryer Recipes,Air Fryer Recipes,"These air fryer crispy onions are delicious over steaks, in burgers, or just as a side dish, plus this might be the easiest way to achieve golden, crispy onions ever.",5,3,"Preheat an air fryer to 375 degrees F (190 degrees C) according to manufacturer's instructions.
Combine flour, cayenne pepper, and salt in a bowl. Add onion slices and toss until well coated.
Place onions in basket and spray with avocado oil. Air fry until golden brown, 18 to 23 minutes, shaking basket every 4 to 5 minutes."
9,Air Fryer Hot Honey Glazed Carrots,Air Fryer Recipes,Air Fryer Recipes,"These air fryer hot honey glazed carrots are a delicious side dish, and so easy to make, with only 3 ingredients—baby carrots, hot honey, and butter.",4,3,"Preheat an air fryer to 400 degrees F (200 degrees C). Spray the basket with nonstick spray.
Combine butter and hot honey in a bowl; add carrots and toss to coat. Place carrots in the air fryer basket, allowing any excess sauce to drip off; set bowl with remaining sauce aside.
Cook in the preheated air fryer, tossing every 7 minutes, until carrots are roasted and fork-tender, about 15 to 22 minutes. Toss cooked carrots in reserved sauce."
10,Air Fryer Sauteed Onions,Air Fryer Recipes,Air Fryer Recipes,"Air fryer sauteed onions add a lot to burgers, sandwiches, tacos, fajitas, or even rice or mashed potatoes. I like them as a topping for steaks—the possibilities are endless.",3,3,"Preheat an air fryer to 400 degrees F (200 degrees C).
Place onion petals and olive oil in a bowl; season with salt and pepper and toss to coat.
Pour mixture into the basket of the air fryer. Cook 10 minutes. Shake the basket and cook 2 minutes more."
